date,company,tier,contact_name,role,email,linkedin_url,touch,channel,subject_line_variant,reply,meeting_booked,pilot_signed,notes
2026-04-17,Seduo,A,,,,,T1,email,B,,,"Launch — check their 2026 multi-lang roadmap post first"
2026-04-17,Skillmea,A,,,,,T1,email,A,,,"SK base → use CS as target language, pitch PL expansion"
2026-04-17,GOPAS,A,,,,,T1,email,C,,,"Cybersec focus — mention EU AI Act Art 50 compliance angle"
2026-04-17,EduBase,A,,,,,T1,email,C,,,
2026-04-17,Primat.sk,A,,,,,T1,email,A,,,
2026-04-17,Sloneek,B,,,,,T1,email,B,,,
2026-04-17,HR-portal,B,,,,,T1,email,B,,,
2026-04-17,Talentspace,B,,,,,T1,email,C,,,
2026-04-17,Nexton,B,,,,,T1,email,B,,,"PL — English email variant"
2026-04-17,iSpring-HU,B,,,,,T1,email,B,,,"HU reseller — cross-sell angle"
2026-04-17,ČSOB,C,,,,,T1,email,C,,,"Long sales cycle — 3-6 months; start now"
2026-04-17,Skoda-Auto,C,,,,,T1,email,C,,,"40k employees, corporate university"
2026-04-17,PKO-BP,C,,,,,T1,email,B,,,"PL market lead, English"
2026-04-17,OTP-Bank,C,,,,,T1,email,C,,,"HU HQ, English"
2026-04-17,T-Mobile-CZ,C,,,,,T1,email,A,,,"Magenta Academy — product training"
2026-04-17,Cinemart,D,,,,,T1,email,B,,,"Reseller play — rev share model"
2026-04-17,Media-Hub-SK,D,,,,,T1,email,A,,,
2026-04-17,Platige-Image,D,,,,,T1,email,C,,,"English; CEE cross-market"
2026-04-17,Umbrella-Production,D,,,,,T1,email,A,,,"HU, English"
2026-04-17,Safetica,E,,,,,T1,email,B,,,"8 langs in product — natural fit"
